HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-01-02 05:00:00;2024-01-02 06:00:00;DK2;366,630005;49,180000
2024-01-02 05:00:00;2024-01-02 06:00:00;DK1;355,070007;47,630001
2024-01-02 05:00:00;2024-01-02 06:00:00;DE;355,070007;47,630001
2024-01-02 06:00:00;2024-01-02 07:00:00;SYSTEM;477,480011;64,050003
2024-01-02 06:00:00;2024-01-02 07:00:00;SE4;437,970001;58,750000
2024-01-02 06:00:00;2024-01-02 07:00:00;SE3;437,970001;58,750000
2024-01-02 06:00:00;2024-01-02 07:00:00;NO2;462,489990;62,040001
2024-01-02 06:00:00;2024-01-02 07:00:00;DK2;437,970001;58,750000
2024-01-02 06:00:00;2024-01-02 07:00:00;DK1;433,119995;58,099998
2024-01-02 06:00:00;2024-01-02 07:00:00;DE;433,119995;58,099998
2024-01-02 07:00:00;2024-01-02 08:00:00;SYSTEM;500,959991;67,199997
2024-01-02 07:00:00;2024-01-02 08:00:00;SE4;489,549988;65,669998
2024-01-02 07:00:00;2024-01-02 08:00:00;SE3;489,549988;65,669998
2024-01-02 07:00:00;2024-01-02 08:00:00;NO2;489,549988;65,669998
2024-01-02 07:00:00;2024-01-02 08:00:00;DK2;489,549988;65,669998
2024-01-02 07:00:00;2024-01-02 08:00:00;DK1;489,549988;65,669998
2024-01-02 07:00:00;2024-01-02 08:00:00;DE;489,549988;65,669998
2024-01-02 08:00:00;2024-01-02 09:00:00;SYSTEM;514,450012;69,010002
2024-01-02 08:00:00;2024-01-02 09:00:00;SE4;492,829987;66,110001
2024-01-02 08:00:00;2024-01-02 09:00:00;SE3;492,829987;66,110001
2024-01-02 08:00:00;2024-01-02 09:00:00;NO2;497,980011;66,800003
2024-01-02 08:00:00;2024-01-02 09:00:00;DK2;492,829987;66,110001
2024-01-02 08:00:00;2024-01-02 09:00:00;DK1;482,549988;64,730003
2024-01-02 08:00:00;2024-01-02 09:00:00;DE;482,549988;64,730003
2024-01-02 09:00:00;2024-01-02 10:00:00;SYSTEM;541,289978;72,610001
2024-01-02 09:00:00;2024-01-02 10:00:00;SE4;514,229980;68,980003
2024-01-02 09:00:00;2024-01-02 10:00:00;SE3;514,229980;68,980003
2024-01-02 09:00:00;2024-01-02 10:00:00;NO2;529,880005;71,080002
2024-01-02 09:00:00;2024-01-02 10:00:00;DK2;514,229980;68,980003
2024-01-02 09:00:00;2024-01-02 10:00:00;DK1;514,229980;68,980003
2024-01-02 09:00:00;2024-01-02 10:00:00;DE;514,229980;68,980003
2024-01-02 10:00:00;2024-01-02 11:00:00;SYSTEM;561,340027;75,300003
2024-01-02 10:00:00;2024-01-02 11:00:00;SE4;548,219971;73,540001
2024-01-02 10:00:00;2024-01-02 11:00:00;SE3;548,219971;73,540001
2024-01-02 10:00:00;2024-01-02 11:00:00;NO2;548,219971;73,540001
2024-01-02 10:00:00;2024-01-02 11:00:00;DK2;548,219971;73,540001
2024-01-02 10:00:00;2024-01-02 11:00:00;DK1;548,219971;73,540001
2024-01-02 10:00:00;2024-01-02 11:00:00;DE;548,219971;73,540001
2024-01-02 11:00:00;2024-01-02 12:00:00;SYSTEM;595,710022;79,910004
2024-01-02 11:00:00;2024-01-02 12:00:00;SE4;582,659973;78,160004
2024-01-02 11:00:00;2024-01-02 12:00:00;SE3;582,659973;78,160004
2024-01-02 11:00:00;2024-01-02 12:00:00;NO2;582,659973;78,160004
2024-01-02 11:00:00;2024-01-02 12:00:00;DK2;582,659973;78,160004
2024-01-02 11:00:00;2024-01-02 12:00:00;DK1;582,659973;78,160004
2024-01-02 11:00:00;2024-01-02 12:00:00;DE;582,659973;78,160004
2024-01-02 12:00:00;2024-01-02 13:00:00;SYSTEM;601,450012;80,680000
2024-01-02 12:00:00;2024-01-02 13:00:00;SE4;587,960022;78,870003
2024-01-02 12:00:00;2024-01-02 13:00:00;SE3;587,960022;78,870003
2024-01-02 12:00:00;2024-01-02 13:00:00;NO2;587,960022;78,870003
2024-01-02 12:00:00;2024-01-02 13:00:00;DK2;587,960022;78,870003
2024-01-02 12:00:00;2024-01-02 13:00:00;DK1;587,960022;78,870003
2024-01-02 12:00:00;2024-01-02 13:00:00;DE;587,960022;78,870003
2024-01-02 13:00:00;2024-01-02 14:00:00;SYSTEM;607,409973;81,480003
2024-01-02 13:00:00;2024-01-02 14:00:00;SE4;590,719971;79,239998
2024-01-02 13:00:00;2024-01-02 14:00:00;SE3;590,719971;79,239998
2024-01-02 13:00:00;2024-01-02 14:00:00;NO2;590,719971;79,239998
2024-01-02 13:00:00;2024-01-02 14:00:00;DK2;590,719971;79,239998
2024-01-02 13:00:00;2024-01-02 14:00:00;DK1;590,719971;79,239998
2024-01-02 13:00:00;2024-01-02 14:00:00;DE;590,719971;79,239998
2024-01-02 14:00:00;2024-01-02 15:00:00;SYSTEM;624,929993;83,830002
2024-01-02 14:00:00;2024-01-02 15:00:00;SE4;596,080017;79,959999
2024-01-02 14:00:00;2024-01-02 15:00:00;SE3;596,080017;79,959999
2024-01-02 14:00:00;2024-01-02 15:00:00;NO2;596,080017;79,959999
2024-01-02 14:00:00;2024-01-02 15:00:00;DK2;596,080017;79,959999
2024-01-02 14:00:00;2024-01-02 15:00:00;DK1;596,080017;79,959999
2024-01-02 14:00:00;2024-01-02 15:00:00;DE;596,080017;79,959999
2024-01-02 15:00:00;2024-01-02 16:00:00;SYSTEM;633,580017;84,989998
2024-01-02 15:00:00;2024-01-02 16:00:00;SE4;607,260010;81,459999
2024-01-02 15:00:00;2024-01-02 16:00:00;SE3;607,260010;81,459999
2024-01-02 15:00:00;2024-01-02 16:00:00;NO2;607,260010;81,459999
2024-01-02 15:00:00;2024-01-02 16:00:00;DK2;607,260010;81,459999
2024-01-02 15:00:00;2024-01-02 16:00:00;DK1;607,260010;81,459999
2024-01-02 15:00:00;2024-01-02 16:00:00;DE;622,169983;83,459999
2024-01-02 16:00:00;2024-01-02 17:00:00;SYSTEM;633,510010;84,980003
2024-01-02 16:00:00;2024-01-02 17:00:00;SE4;603,239990;80,919998
2024-01-02 16:00:00;2024-01-02 17:00:00;SE3;603,239990;80,919998
2024-01-02 16:00:00;2024-01-02 17:00:00;NO2;603,239990;80,919998
2024-01-02 16:00:00;2024-01-02 17:00:00;DK2;603,239990;80,919998
2024-01-02 16:00:00;2024-01-02 17:00:00;DK1;603,239990;80,919998
2024-01-02 16:00:00;2024-01-02 17:00:00;DE;603,239990;80,919998
2024-01-02 17:00:00;2024-01-02 18:00:00;SYSTEM;576,030029;77,269997
2024-01-02 17:00:00;2024-01-02 18:00:00;SE4;558,729980;74,949997
2024-01-02 17:00:00;2024-01-02 18:00:00;SE3;558,729980;74,949997
2024-01-02 17:00:00;2024-01-02 18:00:00;NO2;558,729980;74,949997
2024-01-02 17:00:00;2024-01-02 18:00:00;DK2;558,729980;74,949997
2024-01-02 17:00:00;2024-01-02 18:00:00;DK1;558,729980;74,949997
2024-01-02 17:00:00;2024-01-02 18:00:00;DE;558,729980;74,949997
2024-01-02 18:00:00;2024-01-02 19:00:00;SYSTEM;510,200012;68,440002
2024-01-02 18:00:00;2024-01-02 19:00:00;SE4;470,989990;63,180000
2024-01-02 18:00:00;2024-01-02 19:00:00;SE3;470,989990;63,180000
2024-01-02 18:00:00;2024-01-02 19:00:00;NO2;497,750000;66,769997
2024-01-02 18:00:00;2024-01-02 19:00:00;DK2;470,989990;63,180000
2024-01-02 18:00:00;2024-01-02 19:00:00;DK1;470,989990;63,180000
2024-01-02 18:00:00;2024-01-02 19:00:00;DE;470,989990;63,180000
2024-01-02 19:00:00;2024-01-02 20:00:00;SYSTEM;484,859985;65,040001
2024-01-02 19:00:00;2024-01-02 20:00:00;SE4;425,739990;57,110001
2024-01-02 19:00:00;2024-01-02 20:00:00;SE3;425,739990;57,110001
2024-01-02 19:00:00;2024-01-02 20:00:00;NO2;483,959991;64,919998
2024-01-02 19:00:00;2024-01-02 20:00:00;DK2;425,739990;57,110001
2024-01-02 19:00:00;2024-01-02 20:00:00;DK1;425,739990;57,110001
2024-01-02 19:00:00;2024-01-02 20:00:00;DE;425,739990;57,110001
2024-01-02 20:00:00;2024-01-02 21:00:00;SYSTEM;441,100006;59,169998
2024-01-02 20:00:00;2024-01-02 21:00:00;SE4;358,130005;48,040001
2024-01-02 20:00:00;2024-01-02 21:00:00;SE3;358,130005;48,040001
2024-01-02 20:00:00;2024-01-02 21:00:00;NO2;480,309998;64,430000
2024-01-02 20:00:00;2024-01-02 21:00:00;DK2;358,130005;48,040001
